Alex Len,Maryland,ACC,22,36,98.6,16.8,55.3,56.54,8.8,20,6,24.9,27,46,0.587,52,93,0.559,0,1,0,10,0.5,48.9,Fr,01-Jul,25,1.03437,98.6614,4.6,2012,19499,all,,0.39393334,38,51,14,42,0.7451,0.3333,21,22,0.9545,5,99.3619,94.455,2.30492,99.3874,3.97853,-1.12081,5.09934,2.26331,21.1818,-0.869039,3.13235,1.6364,3.7727,5.4091,0.5909,0.1818,2.1364,5.9545,C,0.126888
Alex Len,Maryland,ACC,38,65.8,112.7,22.6,53.5,56.97,13.2,19.3,7.8,15.6,105,153,0.686,172,316,0.544,1,8,0.125,8,0.5,47.2,So,01-Jul,25,3.19146,118.829,4,2013,19499,all,,0.61669517,127,174,45,142,0.7299,0.3169,67,71,0.9437,5,91.861,88.507,3.41733,214.642,6.95255,2.39556,4.557,6.1296,26.4211,3.33837,2.79123,2.8684,4.9737,7.8421,0.9737,0.2105,2.0526,11.8947,C,0.469137
Alex Oriakhi,Connecticut,BE,34,61.3,97.9,12.8,46,48.29,10.8,17.5,2.6,19,43,80,0.537,63,136,0.463,0,1,0,6,0.9,58.4,Fr,09-Jun,34,0.655942,92.2111,4.4,2010,14117,all,96.2,0.34282106,47,76,14,56,0.6184,0.25,22,26,0.8462,57,95.9653,89.6735,3.13497,167.895,2.30039,-0.794821,3.09521,1.1341,24.5294,-1.25864,2.39273,2.3235,4.2647,6.5882,0.3529,0.3824,1.5882,4.9706,C,0.0694674
Alex Oriakhi,Connecticut,BE,41,71.4,113.7,18.1,50.7,53.46,14.5,18,2.5,12.9,87,138,0.63,153,302,0.507,0,0,0,5.6,0.8,45.7,So,09-Jun,34,3.19407,117.167,3.5,2011,14117,all,96.2,0.33336372,114,202,39,100,0.5644,0.39,36,40,0.9,57,96.1062,89.6303,3.69504,230.321,4.64352,2.20971,2.4338,3.79333,29.0732,2.5899,1.20342,3.7073,5.0244,8.7317,0.3659,0.3902,1.6341,9.5854,C,0
Alex Oriakhi,Connecticut,BE,34,53.1,98.3,18.5,49.5,51.08,9.6,15,2.8,18.7,41,72,0.569,93,188,0.495,0,0,0,6.4,0.3,38.3,Jr,09-Jun,34,1.20484,100.699,3.3,2012,14117,all,96.2,0.24388423,70,112,23,76,0.625,0.3026,30,31,0.9677,57,100.661,95.386,2.28164,124.31,0.184978,-1.36837,1.55335,-0.23711,21.4706,-0.989148,0.752038,1.7059,3.0882,4.7941,0.2941,0.1176,1.3235,6.6765,C,0
Alex Oriakhi,Missouri,SEC,34,64.1,126.5,19,63.9,67.38,14.1,21.5,2.6,16.5,106,142,0.746,138,216,0.639,0,0,0,6.4,1.3,65.7,Sr,09-Jun,42,4.02882,129.195,3.6,2013,14117,all,96.2,0.25528066,122,181,16,34,0.674,0.4706,47,50,0.94,57,92.6318,89.5615,3.23278,197.703,6.92037,3.97423,2.94614,7.58866,25.8235,5.39417,2.19449,3.1176,5.2941,8.4118,0.3529,0.5882,1.5882,11.2353,C,0
Al-Farouq Aminu,Wake Forest,ACC,31,72.5,104.4,22.2,52.8,56.45,9.1,19.9,9,21.3,102,152,0.671,139,244,0.57,7,39,0.179,4.2,1.8,53.7,Fr,09-Jun,,2.61857,110.289,3.6,2009,5612,all,98.4,0.56791302,,,,,,,,,,8,91.5926,87.203,3.931,211.978,5.28985,2.01599,3.27386,4.71175,29,2.46356,2.24819,2.2903,5.871,8.1613,1.4839,0.9677,1.2258,12.9355,,2.28111
Al-Farouq Aminu,Wake Forest,ACC,31,76.4,101.8,27.8,47.1,52.4,14.6,20.5,9.1,20.6,139,199,0.698,149,308,0.484,18,66,0.273,4.5,2.6,53.2,So,09-Jun,1,3.55131,118.004,3.8,2010,5612,all,98.4,0.41415375,112,173,37,135,0.6474,0.2741,46,48,0.9583,8,90.2827,85.7956,4.31568,237.061,6.58999,2.7312,3.85879,6.42958,31.2903,4.27468,2.15491,4.2903,6.4194,10.7097,1.3226,1.4194,1.4194,15.8387,PF/C,3.81868
Alize Johnson,Missouri St.,MVC,32,74.8,112.6,26.7,54.7,57.67,12.8,29.7,14,17.4,107,158,0.677,127,240,0.529,40,102,0.392,0.7,1.2,46.2,Jr,09-Jun,24,3.8236,123.767,3.3,2017,46797,all,,0.82896226,56,81,71,159,0.6914,0.4465,4,4,1,50,101.79,101.965,2.8289,186.333,3.62282,3.82231,-0.199497,4.48716,30.2121,5.39249,-0.905332,3.3333,7.303,10.6364,1.9091,0.6061,0.1818,14.7576,PF/C,6.42917
Alize Johnson,Missouri St.,MVC,32,78.5,109.3,27.9,48,52.73,11.5,30.6,19.2,15.9,110,145,0.759,128,249,0.514,40,143,0.28,1.5,0.8,37,Sr,09-Jun,24,3.85453,122.814,2.7,2018,46797,all,,1.2702908,64,101,64,148,0.6337,0.4324,9,11,0.8182,50,97.1451,98.0767,3.41907,212.77,4.95167,4.00732,0.944347,5.90598,31.1515,5.79397,0.112016,3.1515,8.4848,11.6364,2.8485,0.4545,0.4242,15,PF/C,8.5871
